case_id,driver_gender,year_of_birth,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,stopped_by,stop_date_and_time
648,Female,1973,34,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,107,Apr 25 2007  5:02PM
649,Male,1981,26,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,108,Apr 25 2007  6:09PM
650,Female,1966,41,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,109,Apr 26 2007  2:00AM
651,Male,1972,35,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,100,Apr 26 2007 10:00AM
652,Male,1975,32,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,101,Apr 26 2007  5:15PM
653,Male,1977,30,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,No Action,No,16-30 Min,No        ,102,Apr 26 2007  6:20PM
654,Male,1978,29,White,Registration Violation,Registration/plates,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,103,Apr 28 2007  2:46AM
655,Male,1962,45,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,104,Apr 28 2007  7:30PM
656,Male,1975,32,White,Equipment/Inspection Violation,Equipment,Yes       ,Inventory,Citation,No,16-30 Min,No        ,105,Apr 29 2007 10:20AM
657,Female,1987,20,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,106,Apr 29 2007  3:45PM
658,Male,1988,19,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,16-30 Min,No        ,107,Apr 30 2007 11:30AM
659,Female,1979,28,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,Yes       ,108,Apr 30 2007  4:33PM
660,Female,1955,52,White,Violation of City/Town Ordinance,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,109,May  2 2007 10:43AM
661,Male,1988,19,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Probable Cause,Arrest Driver,Yes,30+ Min,No        ,100,May  2 2007  2:31PM
662,Male,1973,34,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,101,May  2 2007  7:38PM
663,Male,1988,19,Black,Speeding,Speeding,Yes       ,Inventory,Citation,No,16-30 Min,No        ,102,May  4 2007  1:40PM
664,Male,1970,37,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Arrest Driver,Yes,30+ Min,Yes       ,103,May  7 2007 11:18AM
665,Male,1979,28,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,104,May  7 2007  3:08PM
666,Female,1981,26,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,105,May 10 2007  3:10AM
667,Male,1987,20,Hispanic,Speeding,Speeding,Yes       ,Inventory,Protective Frisk,Arrest Driver,Yes,0-15 Min,No        ,106,May 10 2007  4:45PM
668,Male,1967,40,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Citation,No,16-30 Min,No        ,107,May 12 2007  2:30PM
669,Male,1988,19,Asian,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,May 12 2007 11:57PM
670,Male,1971,36,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,109,May 13 2007  9:00AM
671,Female,1966,41,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,100,May 14 2007  1:54AM
672,Female,1966,41,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,May 14 2007  1:54AM
673,Male,1985,22,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,102,May 14 2007  9:37AM
674,Male,1985,22,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Citation,No,30+ Min,No        ,103,May 14 2007  9:37AM
675,Male,1981,26,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,104,May 14 2007  4:44PM
676,Male,1967,40,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,105,May 14 2007  5:30PM
677,Male,1978,29,Black,Speeding,Speeding,Yes       ,Inventory,Citation,No,30+ Min,No        ,106,May 15 2007  7:08AM
678,Male,1985,22,Black,Other Traffic Violation,Moving violation,Yes       ,Inventory,Probable Cause,Citation,No,30+ Min,Yes       ,107,May 15 2007  7:19AM
679,Female,1967,40,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,108,May 16 2007  2:30AM
680,Male,1985,22,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Reasonable Suspicion,N/D,No,30+ Min,Yes       ,109,May 17 2007  2:00AM
681,Male,1980,27,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,16-30 Min,No        ,100,May 18 2007  9:15AM
682,Male,1978,29,White,Registration Violation,Registration/plates,Yes       ,Probable Cause,Citation,No,30+ Min,Yes       ,101,May 19 2007  8:15AM
683,Male,1987,20,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,102,May 20 2007 11:32PM
684,Male,1980,27,Asian,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Probable Cause,Reasonable Suspicion,Arrest Driver,Yes,30+ Min,No        ,103,May 21 2007  2:30PM
685,Male,1985,22,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,104,May 22 2007 12:39AM
686,Male,1979,28,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,105,May 23 2007 10:47AM
687,Male,1978,29,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,106,May 23 2007  9:45PM
688,Male,1962,45,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,107,May 23 2007 11:20PM
689,Male,1958,49,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,108,May 24 2007  7:18PM
690,Male,1975,32,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,109,May 25 2007 10:20AM
691,Male,1985,22,White,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,100,May 27 2007  9:30AM
692,Male,1975,32,White,Special Detail/Directed Patrol,Other,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,101,May 29 2007  1:05AM
693,Male,1987,20,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,102,May 29 2007  7:19PM
694,Male,1985,22,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No        ,103,May 29 2007  8:50PM
695,Male,1960,47,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,104,May 30 2007  2:20PM
696,Male,1966,41,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Inventory,Citation,No,16-30 Min,No        ,105,Jun  1 2007  8:20AM
697,Male,1988,19,Black,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,106,Jun  1 2007  4:20PM
698,Male,1951,56,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,107,Jun  3 2007  1:40AM
699,Female,1971,36,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,108,Jun  4 2007 11:00AM
700,Male,1975,32,Asian,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,109,Jun  5 2007 12:00AM
701,Male,1962,45,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Passenger,Yes,30+ Min,No        ,100,Jun  5 2007  1:45PM
702,Male,1976,31,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,101,Jun  7 2007  1:55AM
703,Male,1983,24,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,No Action,No,0-15 Min,No        ,102,Jun  7 2007  2:48AM
704,Male,1982,25,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,No Action,No,0-15 Min,No        ,103,Jun  7 2007  1:43PM
705,Male,1983,24,Asian,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,Yes       ,104,Jun  8 2007  3:02AM
706,Male,1985,22,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,105,Jun 11 2007  1:05PM
707,Male,1985,22,White,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,106,Jun 11 2007 11:00PM
708,Male,1963,44,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,Yes       ,107,Jun 11 2007 11:32PM
709,Male,1978,29,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Jun 12 2007 12:14AM
710,Male,1948,59,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,109,Jun 12 2007 11:40AM
711,Male,1981,26,Black,Special Detail/Directed Patrol,Other,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,100,Jun 12 2007 10:50PM
712,Male,1981,26,White,Speeding,Speeding,Yes       ,Probable Cause,Protective Frisk,Citation,No,16-30 Min,Yes       ,101,Jun 12 2007 11:18PM
713,Male,1986,21,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,102,Jun 13 2007  1:14AM
714,Male,1985,22,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Reasonable Suspicion,Citation,No,16-30 Min,No        ,103,Jun 13 2007  8:46PM
715,Male,1980,27,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,104,Jun 14 2007  2:30AM
716,Female,1976,31,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,105,Jun 14 2007  4:41PM
717,Male,1987,20,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,106,Jun 16 2007 12:05AM
718,Female,1982,25,White,Call for Service,Other,Yes       ,Incident to Arrest,Citation,No,16-30 Min,Yes       ,107,Jun 16 2007  1:25AM
719,Male,1939,68,Black,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,16-30 Min,No        ,108,Jun 18 2007  6:15AM
720,Male,1957,50,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,109,Jun 20 2007 12:22AM
721,Male,1963,44,Asian,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,100,Jun 20 2007 11:05PM
722,Male,1989,18,White,Speeding,Speeding,Yes       ,Probable Cause,Arrest Driver,Yes,16-30 Min,Yes       ,101,Jun 23 2007  8:39PM
723,Male,1983,24,Asian,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,102,Jun 24 2007 12:14AM
724,Male,1981,26,Black,Speeding,Speeding,Yes       ,Probable Cause,Protective Frisk,Citation,No,30+ Min,Yes       ,103,Jun 24 2007  3:10AM
725,Male,1983,24,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Passenger,Yes,30+ Min,Yes       ,104,Jun 25 2007  2:42AM
726,Male,1980,27,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No        ,105,Jun 26 2007 11:50PM
727,Male,1985,22,White,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,106,Jun 30 2007 12:36AM
728,Male,1987,20,White,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,107,Jun 30 2007  2:48PM
729,Female,1983,24,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,108,Jul  4 2007 12:40AM
730,Male,1971,36,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Jul  5 2007  6:15PM
731,Male,1983,24,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,100,Jul  6 2007  6:58AM
732,Male,1968,39,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Jul  6 2007  4:15PM
733,Male,1967,40,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,102,Jul  6 2007  8:33PM
734,Male,1975,32,Black,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,0-15 Min,No        ,103,Jul  7 2007  9:18AM
735,Male,1983,24,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,104,Jul  7 2007  5:39PM
736,Male,1956,51,White,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Probable Cause,Citation,No,30+ Min,No        ,105,Jul 10 2007 12:50AM
737,Male,1977,30,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,106,Jul 10 2007  2:04AM
738,Male,1983,24,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,107,Jul 10 2007  2:46PM
739,Male,1989,18,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Probable Cause,Citation,No,30+ Min,Yes       ,108,Jul 13 2007  8:07PM
740,Male,1980,27,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Probable Cause,Citation,No,30+ Min,Yes       ,109,Jul 14 2007 12:33AM
741,Female,1962,45,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,30+ Min,No        ,100,Jul 14 2007  9:15AM
742,Female,1978,29,Black,Equipment/Inspection Violation,Equipment,Yes       ,Inventory,Citation,No,16-30 Min,No        ,101,Jul 14 2007  4:39PM
743,Female,1958,49,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,16-30 Min,No        ,102,Jul 15 2007  3:22PM
744,Male,1988,19,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,103,Jul 15 2007  6:08PM
745,Male,1988,19,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,104,Jul 15 2007  6:08PM
746,Female,1982,25,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,105,Jul 16 2007  9:00PM
747,Male,1956,51,Black,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,16-30 Min,No        ,106,Jul 17 2007  3:20PM
748,Male,1989,18,Black,Speeding,Speeding,Yes       ,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes       ,107,Jul 19 2007 10:50PM
749,Male,1977,30,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Arrest Driver,Yes,16-30 Min,Yes       ,108,Jul 20 2007  7:25PM
750,Male,1975,32,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,Yes       ,109,Jul 20 2007  9:45PM
751,Male,1970,37,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,100,Jul 20 2007 11:00PM
752,Male,1974,33,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,30+ Min,Yes       ,101,Jul 21 2007  7:23PM
753,Male,1988,19,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,102,Jul 23 2007  7:46PM
754,Male,1982,25,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,103,Jul 24 2007 10:50AM
755,Male,1964,43,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,104,Jul 25 2007 10:12AM
756,Female,1960,47,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Jul 25 2007 10:24AM
757,Male,1985,22,White,Equipment/Inspection Violation,Equipment,Yes       ,Reasonable Suspicion,Citation,No,16-30 Min,Yes       ,106,Jul 25 2007  1:00PM
758,Male,1980,27,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,107,Jul 27 2007  7:40PM
759,Male,1973,34,White,APB,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,108,Jul 28 2007  1:51AM
760,Female,1981,26,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,109,Jul 28 2007 10:08PM
761,Male,1980,27,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,100,Jul 28 2007 10:42PM
762,Male,1975,32,White,Special Detail/Directed Patrol,Other,Yes       ,Incident to Arrest,Inventory,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,101,Jul 29 2007 12:44AM
763,Male,1972,35,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,102,Jul 29 2007  1:06PM
764,Male,1964,43,Hispanic,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,103,Jul 30 2007 12:01AM
765,Male,1965,42,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,104,Jul 30 2007 11:15AM
766,Male,1973,34,Black,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Reasonable Suspicion,Citation,No,30+ Min,No        ,105,Jul 31 2007  2:41AM
767,Male,1981,26,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,106,Jul 31 2007  2:45AM
768,Female,1974,33,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No        ,107,Jul 31 2007  2:53AM
769,Male,1979,28,White,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,108,Jul 31 2007 10:39AM
770,Male,1955,52,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,109,Jul 31 2007  6:15PM
771,Male,1957,50,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,No Action,No,16-30 Min,No        ,100,Jul 31 2007 11:22PM
772,Male,1987,20,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Aug  2 2007 11:00PM
773,Male,1987,20,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,30+ Min,Yes       ,102,Aug  4 2007 12:19AM
774,Male,1983,24,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,103,Aug  4 2007  1:18AM
775,Female,1973,34,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,104,Aug  5 2007 11:06PM
776,Male,1987,20,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Arrest Driver,Yes,30+ Min,Yes       ,105,Aug  5 2007 11:58PM
777,Male,1985,22,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,106,Aug  6 2007  9:52AM
778,Male,1965,42,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,107,Aug  7 2007  6:19PM
779,Male,1981,26,Hispanic,Speeding,Speeding,Yes       ,Inventory,Citation,No,30+ Min,No        ,108,Aug  8 2007 10:00AM
780,Female,1977,30,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Aug  8 2007 11:54AM
781,Male,1983,24,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Probable Cause,Citation,No,30+ Min,Yes       ,100,Aug  8 2007 10:21PM
782,Male,1989,18,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,101,Aug  9 2007 12:24AM
783,Male,1983,24,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,102,Aug  9 2007  1:28PM
784,Male,1986,21,Black,Speeding,Speeding,Yes       ,Probable Cause,Reasonable Suspicion,Citation,No,0-15 Min,No        ,103,Aug  9 2007 10:34PM
785,Male,1988,19,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Probable Cause,Arrest Driver,Yes,30+ Min,Yes       ,104,Aug  9 2007 10:34PM
786,Male,1983,24,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,105,Aug 10 2007  1:14AM
787,Male,1975,32,White,Registration Violation,Registration/plates,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,106,Aug 10 2007  9:56PM
788,Male,1987,20,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,30+ Min,No        ,107,Aug 11 2007  1:49AM
789,Male,1984,23,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,0-15 Min,Yes       ,108,Aug 12 2007  6:44AM
790,Male,1976,31,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,109,Aug 12 2007 10:53AM
791,Male,1967,40,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,100,Aug 12 2007  8:43PM
792,Male,1973,34,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,101,Aug 15 2007  1:30AM
793,Male,1958,49,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,102,Aug 15 2007  6:01PM
794,Male,1985,22,Hispanic,Speeding,Speeding,Yes       ,Inventory,Probable Cause,Reasonable Suspicion,Citation,No,30+ Min,No        ,103,Aug 16 2007  1:11AM
795,Female,1982,25,White,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,0-15 Min,No        ,104,Aug 16 2007 10:57AM
796,Male,1987,20,Black,Speeding,Speeding,Yes       ,Inventory,Protective Frisk,Citation,No,30+ Min,No        ,105,Aug 16 2007 11:35PM
797,Male,1984,23,Hispanic,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,106,Aug 17 2007  7:23AM
798,Male,1984,23,Black,Equipment/Inspection Violation,Equipment,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,107,Aug 18 2007  9:50PM
799,Female,1966,41,Hispanic,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,108,Aug 20 2007 10:21PM
800,Male,1967,40,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,109,Aug 23 2007 10:29AM
801,Male,1982,25,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,100,Aug 23 2007  9:55PM
802,Male,1987,20,Black,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Aug 24 2007  5:10PM
803,Male,1986,21,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,102,Aug 27 2007 12:46AM
804,Male,1982,25,Black,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,30+ Min,No        ,103,Sep  1 2007  7:32PM
805,Male,1988,19,Black,Registration Violation,Registration/plates,Yes       ,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes       ,104,Sep  1 2007  9:40PM
806,Male,1976,31,Black,Speeding,Speeding,Yes       ,Inventory,Citation,No,16-30 Min,No        ,105,Sep  2 2007 12:52PM
807,Female,1985,22,Black,Speeding,Speeding,Yes       ,Probable Cause,Arrest Driver,Yes,0-15 Min,No        ,106,Sep  3 2007  3:26AM
808,Male,1980,27,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,107,Sep  3 2007  9:04AM
809,Male,1980,27,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Sep  3 2007  9:04AM
810,Female,1960,47,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Sep  3 2007 10:29AM
811,Male,1989,18,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,No Action,No,16-30 Min,Yes       ,100,Sep  3 2007 11:59PM
812,Male,1988,19,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Protective Frisk,Citation,No,16-30 Min,No        ,101,Sep  4 2007  1:50AM
813,Male,1988,19,Hispanic,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Probable Cause,Citation,No,30+ Min,No        ,102,Sep  4 2007  5:10PM
814,Male,1965,42,Black,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,0-15 Min,Yes       ,103,Sep  6 2007 12:20AM
815,Male,1962,45,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,104,Sep  6 2007  8:25PM
816,Male,1986,21,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,105,Sep 10 2007  8:44AM
817,Male,1979,28,Hispanic,Registration Violation,Registration/plates,Yes       ,Reasonable Suspicion,Citation,No,30+ Min,No        ,106,Sep 10 2007  9:40AM
818,Male,1986,21,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,107,Sep 12 2007 12:27AM
819,Male,1978,29,Black,Registration Violation,Registration/plates,Yes       ,Probable Cause,Citation,No,0-15 Min,Yes       ,108,Sep 13 2007  7:23PM
820,Female,1965,42,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,109,Sep 14 2007 12:31AM
821,Male,1958,49,White,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,100,Sep 14 2007  7:50AM
822,Male,1988,19,Black,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Warning,No,0-15 Min,Yes       ,101,Sep 15 2007  3:40PM
823,Female,1987,20,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Arrest Passenger,Yes,30+ Min,No        ,102,Sep 16 2007  1:30PM
824,Male,1971,36,Black,Violation of City/Town Ordinance,Other,Yes       ,Probable Cause,Citation,No,30+ Min,Yes       ,103,Sep 18 2007  1:18AM
